"species","no_countries","no_countries_threatened","percentage_threatened"
"Hieracium hangvarense",1,1,1
"Hieracium hartii",1,1,1
"Hieracium harzianum",1,1,1
"Hieracium hastato-ovatum",1,1,1
"Hieracium helenae",1,1,1
"Hieracium hemidiaphanum",2,1,0.5
"Hieracium hemimaculatum",1,1,1
"Hieracium hepaticiforme",1,1,1
"Hieracium hibernicum",1,1,1
"Hieracium hilare",1,1,1
"Hieracium hispidosum",1,1,1
"Hieracium holosericeum",1,1,1
"Hieracium hortense",2,1,0.5
"Hieracium hyperlepideum",1,1,1
"Hieracium hypomallum",1,1,1
"Hieracium hypoprasinum",1,1,1
"Hieracium imberbe",1,1,1
"Hieracium imbricatiforme",1,1,1
"Hieracium imbricatum",3,1,0.333333333333333
"Hieracium incrassans",1,1,1
"Hieracium inophyllum",1,1,1
"Hieracium insertum",1,1,1
"Hieracium inspissatum",1,1,1
"Hieracium integratifrons",1,1,1
"Hieracium intercalatum",1,1,1
"Hieracium intercedens",1,1,1
"Hieracium intermarginatum",1,1,1
"Hieracium inuloides",6,1,0.166666666666667
"Hieracium irmae",1,1,1
"Hieracium isolanum",1,1,1
"Hieracium isonomoum",1,1,1
"Hieracium issenii",1,1,1
"Hieracium itharophyton",1,1,1
"Hieracium ithytomum",1,1,1
"Hieracium itunense",1,1,1
"Hieracium jaedrense",1,1,1
"Hieracium juelii",1,1,1
"Hieracium juncinescens",1,1,1
"Hieracium juranum",6,2,0.333333333333333
"Hieracium koepingense",1,1,1
"Hieracium krizsnae",1,1,1
"Hieracium larssonii",1,1,1
"Hieracium latidens",1,1,1
"Hieracium laxilimbatum",1,1,1
"Hieracium leiocranum",1,1,1
"Hieracium leiopogon",1,1,1
"Hieracium leurolonchum",1,1,1
"Hieracium levicaule",4,1,0.25
"Hieracium leyanum",1,1,1
"Hieracium limitaneum",1,1,1
"Hieracium linguans",1,1,1
"Hieracium lucidum",1,1,1
"Hieracium luculentorum",1,1,1
"Hieracium ludificans",1,1,1
"Hieracium ludoviciense",1,1,1
"Hieracium lugubre",1,1,1
"Hieracium luzuleti",1,1,1
"Hieracium lychnioides",2,1,0.5
"Hieracium lycopifolium",4,1,0.25
"Hieracium machairodon",1,1,1
"Hieracium maciatum",1,1,1
"Hieracium macrocoelium",1,1,1
"Hieracium macromalloides",1,1,1
"Hieracium macrurum",1,1,1
"Hieracium maculato-ornatum",1,1,1
"Hieracium malacophyllum",1,1,1
"Hieracium malaxatum",1,1,1
"Hieracium mallophyllum",1,1,1
"Hieracium mallopodoides",1,1,1
"Hieracium mallopodum",1,1,1
"Hieracium manocola",1,1,1
"Hieracium manotrichum",1,1,1
"Hieracium mataeum",1,1,1
"Hieracium maurostylum",1,1,1
"Hieracium mediiforme",1,1,1
"Hieracium melanops",4,1,0.25
"Hieracium membrosum",1,1,1
"Hieracium mesopoliotrichum",1,1,1
"Hieracium metaliceps",1,1,1
"Hieracium microcodon",1,1,1
"Hieracium mirandum",1,1,1
"Hieracium mlinicae",2,1,0.5
"Hieracium mollitum",1,1,1
"Hieracium molucratum",1,1,1
"Hieracium moravicum",1,1,1
"Hieracium mucrodentatum",1,1,1
"Hieracium mucroniferum",1,1,1
"Hieracium multisigne",1,1,1
"Hieracium myrtillinum",1,1,1
"Hieracium naevosiforme",1,1,1
"Hieracium naviense",1,1,1
"Hieracium neocoracinum",1,1,1
"Hieracium neoserratifrons",1,1,1
"Hieracium neritodon",1,1,1
"Hieracium nidense",1,1,1
"Hieracium nigritum",5,1,0.2
"Hieracium nigrocyaneum",1,1,1
"Hieracium nigrofuscum",1,1,1
"Hieracium nigrostylum",2,1,0.5
"Hieracium niveolimbatum",1,1,1
"Hieracium nivimontis",1,1,1
"Hieracium norvegicum",6,1,0.166666666666667
"Hieracium obellipticum",1,1,1
"Hieracium oblanceolatum",1,1,1
"Hieracium obovatifrons",1,1,1
"Hieracium obrigens",1,1,1
"Hieracium obscuratum",5,2,0.4
"Hieracium obtusoserratum",2,1,0.5
"Hieracium ocriophyllum",1,1,1
"Hieracium oenophyllum",1,1,1
"Hieracium oestmanii",1,1,1
"Hieracium offulgens",1,1,1
"Hieracium oinopolepis",1,1,1
"Hieracium oligasterum",1,1,1
"Hieracium oligogonium",1,1,1
"Hieracium oligopolium",2,1,0.5
"Hieracium onosmoides",9,1,0.111111111111111
"Hieracium opochlorum",1,1,1
"Hieracium oreiocephalum",1,1,1
"Hieracium ornatilorum",1,1,1
"Hieracium orsense",1,1,1
"Hieracium orthocolon",1,1,1
"Hieracium osmundaceum",1,1,1
"Hieracium oxybeles",1,1,1
"Hieracium pachycalamum",1,1,1
"Hieracium pachyphylloides",1,1,1
"Hieracium paeminosum",1,1,1
"Hieracium paramaurum",1,1,1
"Hieracium parmiferum",1,1,1
"Hieracium parmulatum",2,1,0.5
"Hieracium pectinatum",1,1,1
"Hieracium pedunculare",2,1,0.5
"Hieracium pellitum",2,1,0.5
"Hieracium perexpansum",1,1,1
"Hieracium perlaxum",1,1,1
"Hieracium peroblongum",1,1,1
"Hieracium pexum",1,1,1
"Hieracium phaedrophyllum",1,1,1
"Hieracium phaeodermum",1,1,1
"Hieracium phaeopsis",1,1,1
"Hieracium phaleratum",1,1,1
"Hieracium phaliotrichum",1,1,1
"Hieracium phrygionium",1,1,1
"Hieracium picroides",5,1,0.2
"Hieracium piliferum",10,2,0.2
"Hieracium piligerum",1,1,1
"Hieracium pilulicuspis",1,1,1
"Hieracium placibile",1,1,1
"Hieracium planifrons",1,1,1
"Hieracium platyanthelum",1,1,1
"Hieracium polycritum",1,1,1
"Hieracium polycymum",1,1,1
"Hieracium polypelium",1,1,1
"Hieracium polyschistomorphum",1,1,1
"Hieracium porphyrostictum",1,1,1
"Hieracium portlandicum",1,1,1
"Hieracium praepilulatum",1,1,1
"Hieracium praetusum",1,1,1
"Hieracium praeviride",1,1,1
"Hieracium praviforme",1,1,1
"Hieracium pravifrons",1,1,1
"Hieracium prenanthoides",5,3,0.6
"Hieracium prolatescens",1,1,1
"Hieracium prolinguatum",1,1,1
"Hieracium promontoriale",1,1,1
"Hieracium protractifrons",1,1,1
"Hieracium proversum",1,1,1
"Hieracium pseudobifidum",2,1,0.5
"Hieracium pseudodolichaetum",2,1,0.5
"Hieracium pseudoincrassans",1,1,1
"Hieracium pseudolaeticeps",1,1,1
"Hieracium pseudoleyi",1,1,1
"Hieracium pseudoplicatum",1,1,1
"Hieracium pseudoringselense",1,1,1
"Hieracium psiloloma",1,1,1
"Hieracium psittacinum",1,1,1
"Hieracium pteropodium",1,1,1
"Hieracium ptilophorum",1,1,1
"Hieracium pulchriceps",1,1,1
"Hieracium pulchrius",1,1,1
"Hieracium pumicatifolium",4,1,0.25
"Hieracium puricolor",1,1,1
"Hieracium pusillifolium",1,1,1
"Hieracium pycnotomum",1,1,1
"Hieracium pycnotrichum",1,1,1
"Hieracium quadridentatum",2,1,0.5
"Hieracium queraltense",1,1,1
"Hieracium radiiflorum",1,1,1
"Hieracium radiodens",1,1,1
"Hieracium radyrense",1,1,1
"Hieracium × ravaudii",1,1,1
"Hieracium recoderi",1,1,1
"Hieracium regillatum",1,1,1
"Hieracium repandulare",1,1,1
"Hieracium reticulatiforme",1,1,1
"Hieracium retusulum",1,1,1
"Hieracium rhomboides",2,1,0.5
"Hieracium riddelsdellii",1,1,1
"Hieracium ringselense",1,1,1
"Hieracium ringsellei",1,1,1
"Hieracium riphaeum",2,1,0.5
"Hieracium robertsii",1,1,1
"Hieracium rohlenae",2,1,0.5
"Hieracium ruminosiforme",1,1,1
"Hieracium ruminosum",1,1,1
"Hieracium rupicola",2,1,0.5
"Hieracium sandozianum",2,1,0.5
"Hieracium sanguineum",2,1,0.5
"Hieracium sarissatum",1,1,1
"Hieracium saurotoides",1,1,1
"Hieracium saurotum",1,1,1
"Hieracium scabrisetum",2,1,0.5
"Hieracium schneiderianum",2,1,0.5
"Hieracium schustleri",2,1,0.5
"Hieracium scullyi",1,1,1
"Hieracium scytophyllum",2,1,0.5
"Hieracium segureum",2,1,0.5
"Hieracium semicanipes",1,1,1
"Hieracium semiornatum",1,1,1
"Hieracium separ",1,1,1
"Hieracium seriflorum",3,1,0.333333333333333
"Hieracium siliginosum",1,1,1
"Hieracium sinuolatum",1,1,1
"Hieracium slovacum",1,1,1
"Hieracium snowdoniense",1,1,1
"Hieracium solanum",1,1,1
"Hieracium sommerfeltii",7,1,0.142857142857143
"Hieracium sonchoides",2,1,0.5
"Hieracium spaniotrichum",1,1,1
"Hieracium spanocomum",1,1,1
"Hieracium spargens",1,1,1
"Hieracium sparsifrons",1,1,1
"Hieracium sparsiguttatum",1,1,1
"Hieracium speculare",1,1,1
"Hieracium spodiocladum",1,1,1
"Hieracium spodiolepis",1,1,1
"Hieracium staticifolium",9,1,0.111111111111111
"Hieracium steenhoffii",1,1,1
"Hieracium stenocoloides",1,1,1
"Hieracium stenolepiforme",1,1,1
"Hieracium stenolomoides",1,1,1
"Hieracium stewartii",2,1,0.5
"Hieracium stibeophyllum",1,1,1
"Hieracium strictipes",1,1,1
"Hieracium stymnophytum",1,1,1
"Hieracium subacuens",1,1,1
"Hieracium subanfractum",1,1,1
"Hieracium subbellidifolium",1,1,1
"Hieracium subbritannicum",1,1,1
"Hieracium subciliatum",1,1,1
"Hieracium subedentatum",1,1,1
"Hieracium subedentulum",1,1,1
"Hieracium subglaucovirens",1,1,1
"Hieracium subgracilentipes",1,1,1
"Hieracium subhastatum",1,1,1
"Hieracium subhorizontale",1,1,1
"Hieracium subinquilinum",1,1,1
"Hieracium subintegrifolium",1,1,1
"Hieracium subminutidens",1,1,1
"Hieracium submutabile",1,1,1
"Hieracium subnitidum",1,1,1
"Hieracium subplacerum",1,1,1
"Hieracium subplumuligerum",2,1,0.5
"Hieracium subprasinifolium",1,1,1
"Hieracium subterdentatum",1,1,1
"Hieracium subterscissum",1,1,1
"Hieracium subulicuspis",1,1,1
"Hieracium succulentifolium",1,1,1
"Hieracium sudermannicum",1,1,1
"Hieracium sudeticum",4,1,0.25
"Hieracium suriforme",1,1,1
"Hieracium swantevitii",1,1,1
"Hieracium symmetricum",1,1,1
"Hieracium taeniifolium",1,1,1
"Hieracium tanaodeirum",1,1,1
"Hieracium tavense",1,1,1
"Hieracium tincticuspis",1,1,1
"Hieracium tjaelderense",1,1,1
"Hieracium toerense",1,1,1
"Hieracium tolstoii",1,1,1
"Hieracium trachlosimum",1,1,1
"Hieracium transtrandense",1,1,1
"Hieracium tubaticeps",1,1,1
"Hieracium uechtritzianum",1,1,1
"Hieracium uiginskyense",2,1,0.5
"Hieracium umbrosum",12,1,0.0833333333333333
"Hieracium unguiculatum",1,1,1
"Hieracium unguiferum",1,1,1
"Hieracium vagense",1,1,1
"Hieracium vagicola",1,1,1
"Hieracium valdepilosum",4,1,0.25
"Hieracium valentius",1,1,1
"Hieracium varianifolium",1,1,1
"Hieracium varianum",1,1,1
"Hieracium venetifolium",1,1,1
"Hieracium verbascifolium",2,1,0.5
"Hieracium verniferum",1,1,1
"Hieracium victoriae",1,1,1
"Hieracium villosum",12,2,0.166666666666667
"Hieracium vinaceiforme",1,1,1
"Hieracium vinaceum",1,1,1
"Hieracium viriatum",1,1,1
"Hieracium viride",2,1,0.5
"Hieracium waldsteinii",1,1,1
"Hieracium wendelianum",1,1,1
"Hieracium xerampelinum",1,1,1
"Hieracium xystophorum",1,1,1
"Hieracium yxnerumense",1,1,1
"Hieracium zonulatiforme",1,1,1
"Hieracium zonulatum",1,1,1
"Hieracium zygophorum",2,1,0.5
"Himantoglossum adriaticum",5,4,0.8
"Himantoglossum metlesicsianum",1,1,1
"Hippocrepis castroviejoi",1,1,1
"Hippocrepis comosa",17,3,0.176470588235294
"Hippocrepis eriocarpa",1,1,1
"Hippocrepis grosii",1,1,1
"Hippocrepis nevadensis",1,1,1
"Hippocrepis prostrata",1,1,1
"Hippocrepis tavera-mendozae",1,1,1
"Hippomarathrum vulgare",7,2,0.285714285714286
"Holcus grandiflorus",1,1,1
"Homogyne discolor",4,1,0.25
"Hormathophylla baetica",1,1,1
"Hormathophylla cadevalliana",1,1,1
"Hormathophylla purpurea",1,1,1
"Hormathophylla pyrenaica",1,1,1
"Hormathophylla reverchonii",1,1,1
"Hornungia alpina",12,3,0.25
"Hyacinthella dalmatica",1,1,1
"Hyacinthoides reverchonii",1,1,1
"Hypericum aciferum",1,1,1
"Hypericum barbatum",8,2,0.25
"Hypericum coadunatum",1,1,1
"Hypericum fragile",1,1,1
"Hypericum haplophylloides",1,1,1
"Hypericum rochelii",4,2,0.5
"Hypericum scruglii",1,1,1
"Hypericum setiferum",4,1,0.25
"Hypericum taygeteum",1,1,1
"Hypericum umbellatum",4,1,0.25
"Hypochaeris oligocephala",1,1,1
"Iberis fontqueri",1,1,1
"Iberis grosii",1,1,1
"Iberis linifolia",5,3,0.6
"Iberis pinnata",12,1,0.0833333333333333
"Iberis saxatilis",9,1,0.111111111111111
"Iberodes brassicifolia",1,1,1
"Iberodes commutata",1,1,1
"Iberodes kuzinskyana",2,1,0.5
"Iris boissieri",2,1,0.5
"Iris pseudopumila",2,1,0.5
"Iris revoluta",1,1,1
"Isatis littoralis",1,1,1
"Isatis platyloba",2,2,1
"Isoetes boryana",2,2,1
"Isoetes malinverniana",1,1,1
"Isoetes sabatina",1,1,1
"Isoetes todaroana",2,1,0.5
"Isopyrum thalictroides",14,3,0.214285714285714
"Ixanthus viscosus",1,1,1
"Jacobaea carniolica",9,1,0.111111111111111
"Jacobaea insubrica",2,1,0.5
"Jacobaea persoonii",2,1,0.5
"Jacobaea subalpina",10,3,0.3
"Jacobaea uniflora",3,1,0.333333333333333
"Jasione laevis",7,1,0.142857142857143
"Jasione penicillata",1,1,1
"Juncus emmanuelis",2,1,0.5
"Juniperus phoenicea",4,1,0.25
"Jurinea fontqueri",1,1,1
"Jurinea taygetea",3,1,0.333333333333333
"Jurinea tzar-ferdinandi",2,2,1
"Karpatiosorbus adamii",1,1,1
"Karpatiosorbus admonitor",1,1,1
"Karpatiosorbus albensis",1,1,1
"Karpatiosorbus alnifrons",1,1,1
"Karpatiosorbus amici-petri",1,1,1
"Karpatiosorbus andreanszkyana",1,1,1
"Karpatiosorbus badensis",1,1,1
"Karpatiosorbus bakonyensis",1,1,1
"Karpatiosorbus balatonica",1,1,1
"Karpatiosorbus barrandienica",1,1,1
"Karpatiosorbus barthae",1,1,1
"Karpatiosorbus bohemica",1,1,1
"Karpatiosorbus borosiana",1,1,1
"Karpatiosorbus bristoliensis",1,1,1
"Karpatiosorbus decipientiformis",1,1,1
"Karpatiosorbus devoniensis",2,1,0.5
"Karpatiosorbus dolomiticola",1,1,1
"Karpatiosorbus eugenii-kelleri",1,1,1
"Karpatiosorbus eximia",1,1,1
"Karpatiosorbus eystettensis",1,1,1
"Karpatiosorbus gayeriana",1,1,1
"Karpatiosorbus gemella",1,1,1
"Karpatiosorbus gerecseensis",1,1,1
"Karpatiosorbus haesitans",1,1,1
"Karpatiosorbus herbipolitana",1,1,1
"Karpatiosorbus hoppeana",1,1,1
"Karpatiosorbus hybrida",8,2,0.25
"Karpatiosorbus karpatii",1,1,1
"Karpatiosorbus meierottii",1,1,1
"Karpatiosorbus mergenthaleriana",1,1,1
"Karpatiosorbus milensis",1,1,1
"Karpatiosorbus omissa",1,1,1
"Karpatiosorbus parviloba",1,1,1
"Karpatiosorbus portae-bohemicae",1,1,1
"Karpatiosorbus pseudobakonyensis",1,1,1
"Karpatiosorbus pseudolatifolia",1,1,1
"Karpatiosorbus pseudosemi-incisa",1,1,1
"Karpatiosorbus pseudovertesensis",1,1,1
"Karpatiosorbus puellarum",1,1,1
"Karpatiosorbus redliana",1,1,1
"Karpatiosorbus remensis",2,1,0.5
"Karpatiosorbus rhodanthera",1,1,1
"Karpatiosorbus schnizleiniana",1,1,1
"Karpatiosorbus schuwerkiorum",1,1,1
"Karpatiosorbus semi-incisa",1,1,1
"Karpatiosorbus simonkaiana",1,1,1
"Karpatiosorbus slovenica",2,1,0.5
"Karpatiosorbus subcuneata",1,1,1
"Karpatiosorbus vertesensis",1,1,1
"Karpatiosorbus veszpremensis",1,1,1
"Kernera saxatilis",13,2,0.153846153846154
"Kickxia pendula",1,1,1
"Klasea algarbiensis",1,1,1
"Klasea boetica",1,1,1
"Klasea bulgarica",3,3,1
"Klasea flavescens",2,1,0.5
"Klasea integrifolia",2,1,0.5
"Klasea legionensis",2,2,1
"Knautia albanica",2,1,0.5
"Knautia collina",4,1,0.25
"Knautia dinarica",4,1,0.25
"Knautia dipsacifolia",7,3,0.428571428571429
"Knautia drymeia",8,1,0.125
"Knautia fleischmannii",2,1,0.5
"Knautia godetii",2,1,0.5
"Knautia kitaibelii",5,3,0.6
"Knautia midzorensis",3,1,0.333333333333333
"Knautia nevadensis",2,1,0.5
"Knautia × norica",1,1,1
"Knautia transalpina",2,1,0.5
"Knautia travnicensis",1,1,1
"Knautia velebitica",1,1,1
"Laburnum alpinum",8,1,0.125
"Lactuca longidentata",1,1,1
"Lactuca perennis",17,3,0.176470588235294
"Lactuca plumieri",8,1,0.125
"Lactuca tetrantha",1,1,1
"Lamium gevorense",3,1,0.333333333333333
"Lamium orvala",5,1,0.2
"Lamyropsis microcephala",1,1,1
"Larix polonica",2,1,0.5
"Laser archangelica",5,3,0.6
"Laserpitium longiradium",1,1,1
"Lathraea clandestina",5,1,0.2
"Lathraea rhodopea",2,1,0.5
"Lathyrus alpestris",4,2,0.5
"Lathyrus bauhini",6,2,0.333333333333333
"Lathyrus binatus",1,1,1
"Lathyrus heterophyllus",11,4,0.363636363636364
"Lathyrus neurolobus",1,1,1
"Lathyrus nudicaulis",3,2,0.666666666666667
"Lathyrus pancicii",2,1,0.5
"Lathyrus transsylvanicus",5,3,0.6
"Lathyrus vivantii",2,1,0.5
"Lavandula buchii",1,1,1
"Leontodon berinii",2,1,0.5
"Leontodon crispus",10,4,0.4
"Leontodon farinosus",1,1,1
"Leontodon incanus",11,1,0.0909090909090909
"Leontopodium nivale",14,5,0.357142857142857
"Leopoldia gussonei",1,1,1
"Lepidium navasii",1,1,1
"Leucanthemopsis alpina",4,1,0.25
"Leucanthemum adustum",14,1,0.0714285714285714
"Leucanthemum chloroticum",2,1,0.5
"Leucanthemum corsicum",1,1,1
"Leucanthemum crassifolium",4,1,0.25
"Leucanthemum gallaecicum",1,1,1
"Leucanthemum heterophyllum",5,1,0.2
"Leucanthemum illyricum",1,1,1
"Leucanthemum meridionale",1,1,1
"Ligularia carpatica",4,1,0.25
"Ligusticum albanicum",1,1,1
"Lilium albanicum",4,2,0.5
"Lilium carniolicum",3,1,0.333333333333333
"Lilium jankae",5,2,0.4
"Lilium pomponium",2,1,0.5
"Lilium rhodopeum",2,2,1
"Limbarda crithmoides",5,1,0.2
"Limonium aegusae",1,1,1
"Limonium albidum",1,1,1
"Limonium album",1,1,1
"Limonium algusae",1,1,1
"Limonium alicunense",1,1,1
"Limonium antonii-llorensii",1,1,1
"Limonium aphroditae",1,1,1
"Limonium aragonense",1,1,1
"Limonium asterotrichum",1,1,1
"Limonium aucheri",2,1,0.5
"Limonium barceloi",1,1,1
"Limonium benmageci",1,1,1
"Limonium biflorum",1,1,1
"Limonium boirae",1,1,1
"Limonium bonifaciense",1,1,1
"Limonium bourgeaui",1,1,1
"Limonium brassicifolium",1,1,1
"Limonium brutium",1,1,1
"Limonium bulgaricum",1,1,1
"Limonium calabrum",1,1,1
"Limonium calcarae",1,1,1
"Limonium calliopsium",1,1,1
"Limonium capitis-eliae",1,1,1
"Limonium carisae",1,1,1
"Limonium carpetanicum",1,1,1
"Limonium carthaginense",1,1,1
"Limonium carvalhoi",1,1,1
"Limonium catanense",1,1,1
"Limonium catanzaroi",1,1,1
"Limonium cophanense",1,1,1
"Limonium cordatum",2,1,0.5
"Limonium cordovillense",1,1,1
"Limonium corinthiacum",1,1,1
"Limonium cornarianum",1,1,1
"Limonium cumanum",1,1,1
"Limonium cythereum",1,1,1
"Limonium daveaui",1,1,1
"Limonium dendroides",1,1,1
"Limonium densissimum",3,1,0.333333333333333
"Limonium diomedeum",1,1,1
"Limonium doriae",1,1,1
"Limonium dufourii",1,1,1
"Limonium ejulabilis",1,1,1
"Limonium elaphonisicum",1,1,1
"Limonium estevei",1,1,1
"Limonium etruscum",1,1,1
"Limonium florentinum",1,1,1
"Limonium fontqueri",2,1,0.5
"Limonium frutescens",1,1,1
"Limonium gorgonae",1,1,1
"Limonium grosii",1,1,1
"Limonium humile",9,3,0.333333333333333
"Limonium imbricatum",1,1,1
"Limonium inarimense",1,1,1
"Limonium inexpectans",1,1,1
"Limonium interjectum",1,1,1
"Limonium intermedium",1,1,1
"Limonium ionicum",1,1,1
"Limonium kardamylii",1,1,1
"Limonium lacinium",1,1,1
"Limonium lambinonii",1,1,1
"Limonium lausianum",1,1,1
"Limonium laxiusculum",1,1,1
"Limonium leonardi-llorensii",1,1,1
"Limonium longibracteatum",1,1,1
"Limonium macrophyllum",1,1,1
"Limonium magallufianum",1,1,1
"Limonium majus",1,1,1
"Limonium malacitanum",1,1,1
"Limonium mansanetianum",1,1,1
"Limonium marisolii",1,1,1
"Limonium maritimum",1,1,1
"Limonium messeniacum",1,1,1
"Limonium migjornense",1,1,1
"Limonium minus",1,1,1
"Limonium morisianum",1,1,1
"Limonium mucronulatum",1,1,1
"Limonium multiflorum",1,1,1
"Limonium multiforme",1,1,1
"Limonium nydeggeri",1,1,1
"Limonium opulentum",1,1,1
"Limonium pachynense",1,1,1
"Limonium pandatariae",1,1,1
"Limonium panormitanum",1,1,1
"Limonium patrimoniense",1,1,1
"Limonium perplexum",1,1,1
"Limonium peucetium",1,1,1
"Limonium pinillense",1,1,1
"Limonium planesiae",1,1,1
"Limonium plurisquamatum",1,1,1
"Limonium pontium",1,1,1
"Limonium portovecchiense",1,1,1
"Limonium preauxii",1,1,1
"Limonium pseudodictyocladum",1,1,1
"Limonium pseudolaetum",1,1,1
"Limonium puberulum",1,1,1
"Limonium quesadense",1,1,1
"Limonium recurvum",1,1,1
"Limonium redivivum",1,1,1
"Limonium relicticum",1,1,1
"Limonium revolutum",1,1,1
"Limonium rigualii",1,1,1
"Limonium ruizii",1,1,1
"Limonium santapolense",1,1,1
"Limonium scopulorum",1,1,1
"Limonium secundirameum",1,1,1
"Limonium sibthorpianum",1,1,1
"Limonium silvestrei",1,1,1
"Limonium soboliferum",1,1,1
"Limonium spectabile",1,1,1
"Limonium squarrosum",1,1,1
"Limonium stenophyllum",1,1,1
"Limonium strictissimum",2,2,1
"Limonium subglabrum",1,1,1
"Limonium sucronicum",1,1,1
"Limonium sventenii",1,1,1
"Limonium tabernense",1,1,1
"Limonium tarcoense",1,1,1
"Limonium tauromenitanum",1,1,1
"Limonium tenoreanum",1,1,1
"Limonium thiniense",1,1,1
"Limonium todaroanum",1,1,1
"Limonium ugijarense",1,1,1
"Limonium vigaroense",1,1,1
"Limonium vigoi",1,1,1
"Limonium wiedmannii",1,1,1
"Linaria alpina",12,3,0.25
"Linaria amoi",1,1,1
"Linaria angustissima",12,1,0.0833333333333333
"Linaria arenaria",3,1,0.333333333333333
"Linaria clementei",1,1,1
"Linaria glacialis",1,1,1
"Linaria huteri",1,1,1
"Linaria intricata",2,1,0.5
"Linaria loeselii",3,1,0.333333333333333
"Linaria nigricans",1,1,1
"Linaria oblongifolia",1,1,1
"Linaria orbensis",1,1,1
"Linaria polygalifolia",2,1,0.5
"Linaria ricardoi",1,1,1
"Linum dolomiticum",1,1,1
"Linum elegans",5,2,0.4
"Linum hellenicum",1,1,1
"Linum leonii",3,2,0.666666666666667
"Linum uninerve",2,1,0.5
"Linum viscosum",6,2,0.333333333333333
"Logfia neglecta",4,4,1
"Lolium saxatile",1,1,1
"Lomelosia minoana",1,1,1
"Lomelosia pulsatilloides",1,1,1
"Lonicera alpigena",10,2,0.2
"Lonicera borbasiana",1,1,1
"Lonicera glutinosa",2,1,0.5
"Lonicera nigra",15,1,0.0666666666666667
"Lotus arinagensis",1,1,1
"Lotus berthelotii",1,1,1
"Lotus borbasii",4,2,0.5
"Lotus broussonetii",1,1,1
"Lotus callis-viridis",1,1,1
"Lotus dumetorum",1,1,1
"Lotus emeroides",1,1,1
"Lotus eremiticus",1,1,1
"Lotus eriophthalmus",1,1,1
"Lotus fulgurans",1,1,1
"Lotus kunkelii",1,1,1
"Lotus maculatus",1,1,1
"Lotus mascaensis",1,1,1
"Lotus pyranthus",1,1,1
"Lotus spartioides",1,1,1
"Lotus spectabilis",1,1,1
"Lunaria telekiana",2,2,1
"Lupinus mariae-josephae",1,1,1
"Luronium natans",17,8,0.470588235294118
"Luzula × borreri",4,1,0.25
"Luzula nivea",8,1,0.125
"Luzula pindica",5,1,0.2
"Lycopodium × oellgaardii",7,4,0.571428571428571
"Lysimachia minoricensis",1,1,1
"Majovskya algoviensis",2,1,0.5
"Majovskya haljamovae",1,1,1
"Majovskya zuzanae",1,1,1
"Malcolmia graeca",2,1,0.5
"Malcolmia orsiniana",3,2,0.666666666666667
"Malva lusitanica",3,1,0.333333333333333
"Malva oblongifolia",1,1,1
"Malva phoenicea",1,1,1
"Marcetella moquiniana",1,1,1
"Marrubium friwaldskyanum",1,1,1
"Marsilea batardae",2,1,0.5
"Matthiola valesiaca",7,1,0.142857142857143
"Mcneillia moraldoi",1,1,1
"Mcneillia pseudosaxifraga",2,1,0.5
"Mcneillia saxifraga",2,1,0.5
"Medicago muricoleptis",3,1,0.333333333333333
"Medicago prostrata",7,3,0.428571428571429
"Medicago rhodopea",1,1,1
"Medicago tenoreana",4,1,0.25
"Melampyrum barbatum",6,1,0.166666666666667
"Melampyrum heracleoticum",3,1,0.333333333333333
"Melampyrum herbichii",4,1,0.25
"Melampyrum saxosum",4,1,0.25
"Melampyrum subalpinum",2,1,0.5
"Melampyrum trichocalicinum",2,1,0.5
"Melica bocquetii",1,1,1
"Melica teneriffae",1,1,1
"Micromeria densiflora",1,1,1
"Micromeria glomerata",1,1,1
"Micromeria kerneri",1,1,1
"Micromeria leucantha",1,1,1
"Micromeria longipedunculata",2,1,0.5
"Micromeria pineolens",1,1,1
"Micromeria rivas-martinezii",1,1,1
"Minuartia adenotricha",2,1,0.5
"Minuartia bosniaca",4,1,0.25
"Minuartia graminifolia",2,1,0.5
"Minuartia hirsuta",3,2,0.666666666666667
"Minuartia stojanovii",2,1,0.5
"Moehringia bavarica",4,1,0.25
"Moehringia ciliata",7,1,0.142857142857143
"Moehringia intermedia",2,1,0.5
"Moehringia jankae",2,2,1
"Moehringia lebrunii",2,1,0.5
"Moehringia muscosa",14,1,0.0714285714285714
"Moehringia papulosa",1,1,1
"Moehringia tommasinii",2,1,0.5
"Monanthes anagensis",1,1,1
"Monanthes minima",1,1,1
"Monanthes wildpretii",1,1,1
"Murbeckiella zanonii",2,1,0.5
"Muscari cazorlanum",1,1,1
"Muscari commutatum",3,1,0.333333333333333
"Muscari gussonei",1,1,1
"Myosotis rehsteineri",5,4,0.8
"Myosotis solange",1,1,1
"Myosotis soleirolii",2,1,0.5
"Myosotis tineoi",1,1,1
"Myriolimon diffusum",3,3,1
"Nananthea perpusilla",3,1,0.333333333333333
"Narcissus alcaracensis",1,1,1
"Narcissus confusus",1,1,1
"Narcissus cyclamineus",2,1,0.5
"Narcissus flavus",2,1,0.5
"Narcissus gaditanus",2,2,1
"Narcissus hispanicus",4,1,0.25
"Narcissus moschatus",2,1,0.5
"Narcissus munozii-garmendiae",1,1,1
"Narcissus nevadensis",1,1,1
"Narcissus tortifolius",1,1,1
"Narcissus willkommii",2,1,0.5
"Narcissus yepesii",1,1,1
"Narthecium scardicum",3,1,0.333333333333333
"Naufraga balearica",1,1,1
"Nepeta caerulea",2,1,0.5
