"species","no_countries","no_countries_threatened","percentage_threatened","redlistCategory"
"Halacsya sendtneri",3,1,0.333333333333333,NA
"Haplophyllum balcanicum",2,1,0.5,NA
"Haplophyllum boissierianum",3,1,0.333333333333333,NA
"Haplophyllum coronatum",3,1,0.333333333333333,NA
"Haplophyllum linifolium",3,1,0.333333333333333,NA
"Haplophyllum patavinum",5,3,0.6,NA
"Hedlundia anglica",2,2,1,NA
"Hedlundia borbasii",3,1,0.333333333333333,NA
"Hedlundia buekkensis",2,1,0.5,NA
"Hedlundia gauckleri",1,1,1,NA
"Hedlundia hazslinszkyana",2,1,0.5,NA
"Hedlundia hohenesteri",1,1,1,NA
"Hedlundia lancifolia",1,1,1,NA
"Hedlundia legrei",1,1,1,NA
"Hedlundia leyana",1,1,1,NA
"Hedlundia minima",1,1,1,NA
"Hedlundia mougeotii",11,1,0.0909090909090909,NA
"Hedlundia neglecta",1,1,1,NA
"Hedlundia pauca",1,1,1,NA
"Hedlundia pekarovae",1,1,1,NA
"Hedlundia pseudothuringiaca",1,1,1,NA
"Hedlundia pulchra",1,1,1,NA
"Hedlundia scannelliana",1,1,1,NA
"Hedlundia scepusiensis",1,1,1,NA
"Hedlundia schwarziana",1,1,1,NA
"Hedlundia semipinnata",1,1,1,NA
"Hedlundia sognensis",1,1,1,NA
"Hedlundia teodori",1,1,1,NA
"Hedysarum cyprium",1,1,1,NA
"Helianthemum aganae",1,1,1,NA
"Helianthemum aguloi",1,1,1,NA
"Helianthemum alypoides",1,1,1,"Vulnerable"
"Helianthemum bramwelliorum",1,1,1,NA
"Helianthemum broussonetii",1,1,1,NA
"Helianthemum bystropogophyllum",1,1,1,"Critically Endangered"
"Helianthemum gonzalezferreri",1,1,1,NA
"Helianthemum guerrae",1,1,1,"Endangered"
"Helianthemum inaguae",1,1,1,NA
"Helianthemum juliae",1,1,1,NA
"Helianthemum lunulatum",2,1,0.5,NA
"Helianthemum marminorense",1,1,1,NA
"Helianthemum morisianum",1,1,1,NA
"Helianthemum oelandicum",2,1,0.5,NA
"Helianthemum pannosum",1,1,1,NA
"Helianthemum polygonoides",1,1,1,NA
"Helianthemum scopulicola",1,1,1,NA
"Helianthemum sicanorum",1,1,1,NA
"Helianthemum teneriffae",1,1,1,"Critically Endangered"
"Helianthemum tholiforme",1,1,1,NA
"Helianthemum thymiphyllum",1,1,1,NA
"Helianthemum viscidulum",1,1,1,NA
"Helichrysum alucense",1,1,1,NA
"Helichrysum doerfleri",1,1,1,NA
"Helichrysum gossypinum",1,1,1,"Vulnerable"
"Helichrysum monogynum",1,1,1,"Endangered"
"Helichrysum sibthorpii",1,1,1,NA
"Helichrysum taenari",1,1,1,NA
"Helichrysum teydeum",1,1,1,NA
"Helictochloa crassifolia",1,1,1,"Endangered"
"Helictochloa hackelii",1,1,1,"Vulnerable"
"Helictochloa praeusta",8,1,0.125,NA
"Helictotrichon cantabricum",2,1,0.5,NA
"Heliosperma pusillum",13,4,0.307692307692308,NA
"Helleborus multifidus",2,1,0.5,NA
"Helleborus purpurascens",7,2,0.285714285714286,"Least Concern"
"Helosciadium bermejoi",1,1,1,NA
"Heptaptera angustifolia",1,1,1,NA
"Heracleum austriacum",3,1,0.333333333333333,NA
"Heracleum carpaticum",2,1,0.5,NA
"Heracleum orphanidis",2,1,0.5,NA
"Herniaria algarvica",1,1,1,"Vulnerable"
"Herniaria alpina",5,1,0.2,NA
"Herniaria lusitanica",2,1,0.5,NA
"Herniaria parnassica",2,1,0.5,NA
"Hesperis dinarica",5,1,0.2,NA
"Hesperis inodora",2,1,0.5,NA
"Hesperis slovaca",1,1,1,NA
"Hesperis sylvestris",10,1,0.1,NA
"Hesperis theophrasti",4,1,0.25,NA
"Hesperocodon hederaceus",8,3,0.375,NA
"Hieracium abiegni",1,1,1,NA
"Hieracium abrupticuspis",1,1,1,NA
"Hieracium acamptum",1,1,1,NA
"Hieracium accrescens",1,1,1,NA
"Hieracium acidotum",2,1,0.5,NA
"Hieracium acriserratum",1,1,1,NA
"Hieracium acrogymnon",1,1,1,NA
"Hieracium acudentulum",2,1,0.5,NA
"Hieracium acuens",1,1,1,NA
"Hieracium acutellum",1,1,1,NA
"Hieracium adampliatum",1,1,1,NA
"Hieracium aemulans",1,1,1,NA
"Hieracium aequiserratum",1,1,1,NA
"Hieracium aethalodes",1,1,1,NA
"Hieracium ageneium",1,1,1,NA
"Hieracium albiduliforme",1,1,1,NA
"Hieracium albovittatum",1,1,1,NA
"Hieracium ambigosum",1,1,1,NA
"Hieracium amblyglochin",1,1,1,NA
"Hieracium amblyodontum",1,1,1,NA
"Hieracium amoenifrons",1,1,1,NA
"Hieracium amphicentrum",1,1,1,NA
"Hieracium ancisum",1,1,1,NA
"Hieracium anguinum",1,1,1,NA
"Hieracium angulosum",1,1,1,NA
"Hieracium angustatiforme",1,1,1,NA
"Hieracium angustisquamum",2,1,0.5,NA
"Hieracium anisolepis",1,1,1,NA
"Hieracium anisolobum",1,1,1,NA
"Hieracium anisotomum",1,1,1,NA
"Hieracium anthracostylum",1,1,1,NA
"Hieracium apheles",1,1,1,NA
"Hieracium aphyllum",2,1,0.5,NA
"Hieracium apiculatum",4,1,0.25,NA
"Hieracium apicum",1,1,1,NA
"Hieracium appendiculatum",1,1,1,NA
"Hieracium aquiliceps",1,1,1,NA
"Hieracium araeocladum",1,1,1,NA
"Hieracium arcuaticuneatum",1,1,1,NA
"Hieracium argentarium",1,1,1,NA
"Hieracium argentatum",1,1,1,NA
"Hieracium argentimontanum",1,1,1,NA
"Hieracium arnoldii",1,1,1,NA
"Hieracium arrogans",1,1,1,NA
"Hieracium asemum",1,1,1,NA
"Hieracium askii",1,1,1,NA
"Hieracium asperulum",2,1,0.5,NA
"Hieracium asteridiophyllum",1,1,1,NA
"Hieracium asteroloma",1,1,1,NA
"Hieracium aterrimum",2,1,0.5,NA
"Hieracium atratum",6,1,0.166666666666667,NA
"Hieracium atrocaeruleum",1,1,1,NA
"Hieracium austriniforme",1,1,1,NA
"Hieracium austrotatricum",1,1,1,NA
"Hieracium badiicolor",1,1,1,NA
"Hieracium bakerianum",1,1,1,NA
"Hieracium balbisianum",6,1,0.166666666666667,NA
"Hieracium baroniae",1,1,1,NA
"Hieracium basilimbatum",1,1,1,NA
"Hieracium basiserratum",1,1,1,NA
"Hieracium belogradcense",1,1,1,NA
"Hieracium bembicophorum",1,1,1,NA
"Hieracium benzianum",4,1,0.25,NA
"Hieracium bergstroemii",1,1,1,NA
"Hieracium bicurvum",1,1,1,NA
"Hieracium bogense",1,1,1,NA
"Hieracium boswellii",1,1,1,NA
"Hieracium bourgaei",1,1,1,NA
"Hieracium brachycodon",1,1,1,NA
"Hieracium brachythysanum",1,1,1,NA
"Hieracium breconense",1,1,1,NA
"Hieracium breconicola",1,1,1,NA
"Hieracium britanniciforme",1,1,1,NA
"Hieracium britannicoides",1,1,1,NA
"Hieracium bupleuroides",7,2,0.285714285714286,NA
"Hieracium burnatii",2,1,0.5,NA
"Hieracium cacuminatum",1,1,1,NA
"Hieracium cacuminum",1,1,1,NA
"Hieracium caesionigrescens",3,1,0.333333333333333,NA
"Hieracium caesiopilosum",1,1,1,NA
"Hieracium calliglaucum",2,1,0.5,NA
"Hieracium calocymum",3,1,0.333333333333333,NA
"Hieracium cambricogothicum",1,1,1,NA
"Hieracium cambricum",1,1,1,NA
"Hieracium camurum",1,1,1,NA
"Hieracium candelabrae",1,1,1,NA
"Hieracium canescens",3,2,0.666666666666667,NA
"Hieracium canipediforme",1,1,1,NA
"Hieracium canovittatum",1,1,1,NA
"Hieracium cantianum",1,1,1,NA
"Hieracium carcarophyllum",1,1,1,NA
"Hieracium carnosiceps",1,1,1,NA
"Hieracium causiatum",1,1,1,NA
"Hieracium centonale",1,1,1,NA
"Hieracium centrotum",1,1,1,NA
"Hieracium cerinthiforme",1,1,1,NA
"Hieracium chaboissaei",1,1,1,NA
"Hieracium chaixianum",1,1,1,NA
"Hieracium charitodon",1,1,1,NA
"Hieracium chloeropis",1,1,1,NA
"Hieracium chloocranum",1,1,1,NA
"Hieracium chrysophorum",1,1,1,NA
"Hieracium chrysostyloides",1,1,1,NA
"Hieracium ciliatiforme",1,1,1,NA
"Hieracium cillense",1,1,1,NA
"Hieracium cinereotectum",1,1,1,NA
"Hieracium cirritum",4,1,0.25,NA
"Hieracium cirrobractum",1,1,1,NA
"Hieracium clivicola",2,1,0.5,NA
"Hieracium comanticeps",1,1,1,NA
"Hieracium comitans",1,1,1,NA
"Hieracium compitale",1,1,1,NA
"Hieracium complexum",1,1,1,NA
"Hieracium compositum",2,1,0.5,NA
"Hieracium concinnatum",1,1,1,NA
"Hieracium coniceps",1,1,1,NA
"Hieracium conspectum",1,1,1,NA
"Hieracium continuum",1,1,1,NA
"Hieracium corconticum",2,1,0.5,NA
"Hieracium cordatum",2,1,0.5,NA
"Hieracium corniculans",2,1,0.5,NA
"Hieracium cottetii",5,1,0.2,NA
"Hieracium crassiceps",1,1,1,NA
"Hieracium crenosum",2,1,0.5,NA
"Hieracium crispatulum",1,1,1,NA
"Hieracium ctenophyllum",1,1,1,NA
"Hieracium cuneifrons",1,1,1,NA
"Hieracium cuprimontanum",1,1,1,NA
"Hieracium cyathis",1,1,1,NA
"Hieracium cyclum",1,1,1,NA
"Hieracium daedalolepium",1,1,1,NA
"Hieracium dalecarlicum",1,1,1,NA
"Hieracium daniciforme",1,1,1,NA
"Hieracium dasytomum",1,1,1,NA
"Hieracium decorans",1,1,1,NA
"Hieracium delime",1,1,1,NA
"Hieracium densipellitum",1,1,1,NA
"Hieracium dentatum",8,1,0.125,NA
"Hieracium dermophyllum",3,1,0.333333333333333,NA
"Hieracium diphyllum",1,1,1,NA
"Hieracium distrudens",1,1,1,NA
"Hieracium dolichophyllum",1,1,1,NA
"Hieracium dolichorhachis",1,1,1,NA
"Hieracium dollineri",6,1,0.166666666666667,NA
"Hieracium dowardense",1,1,1,NA
"Hieracium duderhultense",1,1,1,NA
"Hieracium durum",1,1,1,NA
"Hieracium dyringii",1,1,1,NA
"Hieracium ebenarium",1,1,1,NA
"Hieracium elevatum",1,1,1,NA
"Hieracium elvdalense",1,1,1,NA
"Hieracium emblae",1,1,1,NA
"Hieracium eminentiforme",1,1,1,NA
"Hieracium epicrocifolium",1,1,1,NA
"Hieracium erioneurum",1,1,1,NA
"Hieracium erithallum",1,1,1,NA
"Hieracium ethologum",1,1,1,NA
"Hieracium eudaedalium",1,1,1,NA
"Hieracium eumeces",1,1,1,NA
"Hieracium eurygonium",1,1,1,NA
"Hieracium eustomon",1,1,1,NA
"Hieracium evae",1,1,1,NA
"Hieracium exsulans",1,1,1,NA
"Hieracium externum",1,1,1,NA
"Hieracium falcifolium",1,1,1,NA
"Hieracium favratii",2,1,0.5,NA
"Hieracium filisquamum",1,1,1,NA
"Hieracium fissuricola",1,1,1,NA
"Hieracium flagriferum",1,1,1,NA
"Hieracium fodinarium",1,1,1,NA
"Hieracium franconicum",2,1,0.5,NA
"Hieracium fritzei",4,1,0.25,NA
"Hieracium froederstroemii",1,1,1,NA
"Hieracium froelichianum",4,1,0.25,NA
"Hieracium funerale",1,1,1,NA
"Hieracium gavellei",1,1,1,NA
"Hieracium gerontocephalum",1,1,1,NA
"Hieracium gigantocybe",1,1,1,NA
"Hieracium gilvocaniceps",1,1,1,NA
"Hieracium glandulosodentatum",2,1,0.5,NA
"Hieracium glaucinum",10,2,0.2,NA
"Hieracium glevense",1,1,1,NA
"Hieracium gombense",2,1,0.5,NA
"Hieracium gracilipes",1,1,1,NA
"Hieracium grandidentiforme",1,1,1,NA
"Hieracium grandifoliatum",1,1,1,NA
"Hieracium griffitii",1,1,1,NA
"Hieracium gripharium",1,1,1,NA
"Hieracium grophosiceps",1,1,1,NA
"Hieracium guttatifrons",1,1,1,NA
"Hieracium haboense",1,1,1,NA
"Hieracium hangvarense",1,1,1,NA
"Hieracium hartii",1,1,1,NA
"Hieracium harzianum",1,1,1,NA
"Hieracium hastato-ovatum",1,1,1,NA
"Hieracium helenae",1,1,1,NA
"Hieracium hemidiaphanum",2,1,0.5,NA
"Hieracium hemimaculatum",1,1,1,NA
"Hieracium hepaticiforme",1,1,1,NA
"Hieracium hibernicum",1,1,1,NA
"Hieracium hilare",1,1,1,NA
"Hieracium hispidosum",1,1,1,NA
"Hieracium holosericeum",1,1,1,NA
"Hieracium hortense",2,1,0.5,NA
"Hieracium hyperlepideum",1,1,1,NA
"Hieracium hypomallum",1,1,1,NA
"Hieracium hypoprasinum",1,1,1,NA
"Hieracium imberbe",1,1,1,NA
"Hieracium imbricatiforme",1,1,1,NA
"Hieracium imbricatum",3,1,0.333333333333333,NA
"Hieracium incrassans",1,1,1,NA
"Hieracium inophyllum",1,1,1,NA
"Hieracium insertum",1,1,1,NA
"Hieracium inspissatum",1,1,1,NA
"Hieracium integratifrons",1,1,1,NA
"Hieracium intercalatum",1,1,1,NA
"Hieracium intercedens",1,1,1,NA
"Hieracium intermarginatum",1,1,1,NA
"Hieracium inuloides",6,1,0.166666666666667,NA
"Hieracium irmae",1,1,1,NA
"Hieracium isolanum",1,1,1,NA
"Hieracium isonomoum",1,1,1,NA
"Hieracium issenii",1,1,1,NA
"Hieracium itharophyton",1,1,1,NA
"Hieracium ithytomum",1,1,1,NA
"Hieracium itunense",1,1,1,NA
"Hieracium jaedrense",1,1,1,NA
"Hieracium juelii",1,1,1,NA
"Hieracium juncinescens",1,1,1,NA
"Hieracium juranum",6,2,0.333333333333333,NA
"Hieracium koepingense",1,1,1,NA
"Hieracium krizsnae",1,1,1,NA
"Hieracium larssonii",1,1,1,NA
"Hieracium latidens",1,1,1,NA
"Hieracium laxilimbatum",1,1,1,NA
"Hieracium leiocranum",1,1,1,NA
"Hieracium leiopogon",1,1,1,NA
"Hieracium leurolonchum",1,1,1,NA
"Hieracium levicaule",4,1,0.25,NA
"Hieracium leyanum",1,1,1,NA
"Hieracium limitaneum",1,1,1,NA
"Hieracium linguans",1,1,1,NA
"Hieracium lucidum",1,1,1,"Critically Endangered"
"Hieracium luculentorum",1,1,1,NA
"Hieracium ludificans",1,1,1,NA
"Hieracium ludoviciense",1,1,1,NA
"Hieracium lugubre",1,1,1,NA
"Hieracium luzuleti",1,1,1,NA
"Hieracium lychnioides",2,1,0.5,NA
"Hieracium lycopifolium",4,1,0.25,NA
"Hieracium machairodon",1,1,1,NA
"Hieracium maciatum",1,1,1,NA
"Hieracium macrocoelium",1,1,1,NA
"Hieracium macromalloides",1,1,1,NA
"Hieracium macrurum",1,1,1,NA
"Hieracium maculato-ornatum",1,1,1,NA
"Hieracium malacophyllum",1,1,1,NA
"Hieracium malaxatum",1,1,1,NA
"Hieracium mallophyllum",1,1,1,NA
"Hieracium mallopodoides",1,1,1,NA
"Hieracium mallopodum",1,1,1,NA
"Hieracium manocola",1,1,1,NA
"Hieracium manotrichum",1,1,1,NA
"Hieracium mataeum",1,1,1,NA
"Hieracium maurostylum",1,1,1,NA
"Hieracium mediiforme",1,1,1,NA
"Hieracium melanops",4,1,0.25,NA
"Hieracium membrosum",1,1,1,NA
"Hieracium mesopoliotrichum",1,1,1,NA
"Hieracium metaliceps",1,1,1,NA
"Hieracium microcodon",1,1,1,NA
"Hieracium mirandum",1,1,1,NA
"Hieracium mlinicae",2,1,0.5,NA
"Hieracium mollitum",1,1,1,NA
"Hieracium molucratum",1,1,1,NA
"Hieracium moravicum",1,1,1,NA
"Hieracium mucrodentatum",1,1,1,NA
"Hieracium mucroniferum",1,1,1,NA
"Hieracium multisigne",1,1,1,NA
"Hieracium myrtillinum",1,1,1,NA
"Hieracium naevosiforme",1,1,1,NA
"Hieracium naviense",1,1,1,NA
"Hieracium neocoracinum",1,1,1,NA
"Hieracium neoserratifrons",1,1,1,NA
"Hieracium neritodon",1,1,1,NA
"Hieracium nidense",1,1,1,NA
"Hieracium nigritum",5,1,0.2,NA
"Hieracium nigrocyaneum",1,1,1,NA
"Hieracium nigrofuscum",1,1,1,NA
"Hieracium nigrostylum",2,1,0.5,NA
"Hieracium niveolimbatum",1,1,1,NA
"Hieracium nivimontis",1,1,1,NA
"Hieracium norvegicum",6,1,0.166666666666667,NA
"Hieracium obellipticum",1,1,1,NA
"Hieracium oblanceolatum",1,1,1,NA
"Hieracium obovatifrons",1,1,1,NA
"Hieracium obrigens",1,1,1,NA
"Hieracium obscuratum",5,2,0.4,NA
"Hieracium obtusoserratum",2,1,0.5,NA
"Hieracium ocriophyllum",1,1,1,NA
"Hieracium oenophyllum",1,1,1,NA
"Hieracium oestmanii",1,1,1,NA
"Hieracium offulgens",1,1,1,NA
"Hieracium oinopolepis",1,1,1,NA
"Hieracium oligasterum",1,1,1,NA
"Hieracium oligogonium",1,1,1,NA
"Hieracium oligopolium",2,1,0.5,NA
"Hieracium onosmoides",9,1,0.111111111111111,NA
"Hieracium opochlorum",1,1,1,NA
"Hieracium oreiocephalum",1,1,1,NA
"Hieracium ornatilorum",1,1,1,NA
"Hieracium orsense",1,1,1,NA
"Hieracium orthocolon",1,1,1,NA
"Hieracium osmundaceum",1,1,1,NA
"Hieracium oxybeles",1,1,1,NA
"Hieracium pachycalamum",1,1,1,NA
"Hieracium pachyphylloides",1,1,1,NA
"Hieracium paeminosum",1,1,1,NA
"Hieracium paramaurum",1,1,1,NA
"Hieracium parmiferum",1,1,1,NA
"Hieracium parmulatum",2,1,0.5,NA
"Hieracium pectinatum",1,1,1,NA
"Hieracium pedunculare",2,1,0.5,NA
"Hieracium pellitum",2,1,0.5,NA
"Hieracium perexpansum",1,1,1,NA
"Hieracium perlaxum",1,1,1,NA
"Hieracium peroblongum",1,1,1,NA
"Hieracium pexum",1,1,1,NA
"Hieracium phaedrophyllum",1,1,1,NA
"Hieracium phaeodermum",1,1,1,NA
"Hieracium phaeopsis",1,1,1,NA
"Hieracium phaleratum",1,1,1,NA
"Hieracium phaliotrichum",1,1,1,NA
"Hieracium phrygionium",1,1,1,NA
"Hieracium picroides",5,1,0.2,NA
"Hieracium piliferum",10,2,0.2,NA
"Hieracium piligerum",1,1,1,NA
"Hieracium pilulicuspis",1,1,1,NA
"Hieracium placibile",1,1,1,NA
"Hieracium planifrons",1,1,1,NA
"Hieracium platyanthelum",1,1,1,NA
"Hieracium polycritum",1,1,1,NA
"Hieracium polycymum",1,1,1,NA
"Hieracium polypelium",1,1,1,NA
"Hieracium polyschistomorphum",1,1,1,NA
"Hieracium porphyrostictum",1,1,1,NA
"Hieracium portlandicum",1,1,1,NA
"Hieracium praepilulatum",1,1,1,NA
"Hieracium praetusum",1,1,1,NA
"Hieracium praeviride",1,1,1,NA
"Hieracium praviforme",1,1,1,NA
"Hieracium pravifrons",1,1,1,NA
"Hieracium prenanthoides",5,3,0.6,NA
"Hieracium prolatescens",1,1,1,NA
"Hieracium prolinguatum",1,1,1,NA
"Hieracium promontoriale",1,1,1,NA
"Hieracium protractifrons",1,1,1,NA
"Hieracium proversum",1,1,1,NA
"Hieracium pseudobifidum",2,1,0.5,NA
"Hieracium pseudodolichaetum",2,1,0.5,NA
"Hieracium pseudoincrassans",1,1,1,NA
"Hieracium pseudolaeticeps",1,1,1,NA
"Hieracium pseudoleyi",1,1,1,NA
"Hieracium pseudoplicatum",1,1,1,NA
"Hieracium pseudoringselense",1,1,1,NA
"Hieracium psiloloma",1,1,1,NA
"Hieracium psittacinum",1,1,1,NA
"Hieracium pteropodium",1,1,1,NA
"Hieracium ptilophorum",1,1,1,NA
"Hieracium pulchriceps",1,1,1,NA
"Hieracium pulchrius",1,1,1,NA
"Hieracium pumicatifolium",4,1,0.25,NA
"Hieracium puricolor",1,1,1,NA
"Hieracium pusillifolium",1,1,1,NA
"Hieracium pycnotomum",1,1,1,NA
"Hieracium pycnotrichum",1,1,1,NA
"Hieracium quadridentatum",2,1,0.5,NA
"Hieracium queraltense",1,1,1,NA
"Hieracium radiiflorum",1,1,1,NA
"Hieracium radiodens",1,1,1,NA
"Hieracium radyrense",1,1,1,NA
"Hieracium × ravaudii",1,1,1,NA
"Hieracium recoderi",1,1,1,NA
"Hieracium regillatum",1,1,1,NA
"Hieracium repandulare",1,1,1,NA
"Hieracium reticulatiforme",1,1,1,NA
"Hieracium retusulum",1,1,1,NA
"Hieracium rhomboides",2,1,0.5,NA
"Hieracium riddelsdellii",1,1,1,NA
"Hieracium ringselense",1,1,1,NA
"Hieracium ringsellei",1,1,1,NA
"Hieracium riphaeum",2,1,0.5,NA
"Hieracium robertsii",1,1,1,NA
"Hieracium rohlenae",2,1,0.5,NA
"Hieracium ruminosiforme",1,1,1,NA
"Hieracium ruminosum",1,1,1,NA
"Hieracium rupicola",2,1,0.5,NA
"Hieracium sandozianum",2,1,0.5,NA
"Hieracium sanguineum",2,1,0.5,NA
"Hieracium sarissatum",1,1,1,NA
"Hieracium saurotoides",1,1,1,NA
"Hieracium saurotum",1,1,1,NA
"Hieracium scabrisetum",2,1,0.5,NA
"Hieracium schneiderianum",2,1,0.5,NA
"Hieracium schustleri",2,1,0.5,NA
"Hieracium scullyi",1,1,1,NA
"Hieracium scytophyllum",2,1,0.5,NA
"Hieracium segureum",2,1,0.5,NA
"Hieracium semicanipes",1,1,1,NA
"Hieracium semiornatum",1,1,1,NA
"Hieracium separ",1,1,1,NA
"Hieracium seriflorum",3,1,0.333333333333333,NA
"Hieracium siliginosum",1,1,1,NA
"Hieracium sinuolatum",1,1,1,NA
"Hieracium slovacum",1,1,1,NA
"Hieracium snowdoniense",1,1,1,NA
"Hieracium solanum",1,1,1,NA
"Hieracium sommerfeltii",7,1,0.142857142857143,NA
"Hieracium sonchoides",2,1,0.5,NA
"Hieracium spaniotrichum",1,1,1,NA
"Hieracium spanocomum",1,1,1,NA
"Hieracium spargens",1,1,1,NA
"Hieracium sparsifrons",1,1,1,NA
"Hieracium sparsiguttatum",1,1,1,NA
"Hieracium speculare",1,1,1,NA
"Hieracium spodiocladum",1,1,1,NA
"Hieracium spodiolepis",1,1,1,NA
"Hieracium staticifolium",9,1,0.111111111111111,NA
"Hieracium steenhoffii",1,1,1,NA
"Hieracium stenocoloides",1,1,1,NA
"Hieracium stenolepiforme",1,1,1,NA
"Hieracium stenolomoides",1,1,1,NA
"Hieracium stewartii",2,1,0.5,NA
"Hieracium stibeophyllum",1,1,1,NA
"Hieracium strictipes",1,1,1,NA
"Hieracium stymnophytum",1,1,1,NA
"Hieracium subacuens",1,1,1,NA
"Hieracium subanfractum",1,1,1,NA
"Hieracium subbellidifolium",1,1,1,NA
"Hieracium subbritannicum",1,1,1,NA
"Hieracium subciliatum",1,1,1,NA
"Hieracium subedentatum",1,1,1,NA
"Hieracium subedentulum",1,1,1,NA
"Hieracium subglaucovirens",1,1,1,NA
"Hieracium subgracilentipes",1,1,1,NA
"Hieracium subhastatum",1,1,1,NA
"Hieracium subhorizontale",1,1,1,NA
"Hieracium subinquilinum",1,1,1,NA
"Hieracium subintegrifolium",1,1,1,NA
"Hieracium subminutidens",1,1,1,NA
"Hieracium submutabile",1,1,1,NA
"Hieracium subnitidum",1,1,1,NA
"Hieracium subplacerum",1,1,1,NA
"Hieracium subplumuligerum",2,1,0.5,NA
"Hieracium subprasinifolium",1,1,1,NA
"Hieracium subterdentatum",1,1,1,NA
"Hieracium subterscissum",1,1,1,NA
"Hieracium subulicuspis",1,1,1,NA
"Hieracium succulentifolium",1,1,1,NA
"Hieracium sudermannicum",1,1,1,NA
"Hieracium sudeticum",4,1,0.25,NA
"Hieracium suriforme",1,1,1,NA
"Hieracium swantevitii",1,1,1,NA
"Hieracium symmetricum",1,1,1,NA
"Hieracium taeniifolium",1,1,1,NA
"Hieracium tanaodeirum",1,1,1,NA
"Hieracium tavense",1,1,1,NA
"Hieracium tincticuspis",1,1,1,NA
"Hieracium tjaelderense",1,1,1,NA
"Hieracium toerense",1,1,1,NA
"Hieracium tolstoii",1,1,1,NA
"Hieracium trachlosimum",1,1,1,NA
"Hieracium transtrandense",1,1,1,NA
"Hieracium tubaticeps",1,1,1,NA
"Hieracium uechtritzianum",1,1,1,NA
"Hieracium uiginskyense",2,1,0.5,NA
"Hieracium umbrosum",12,1,0.0833333333333333,NA
"Hieracium unguiculatum",1,1,1,NA
"Hieracium unguiferum",1,1,1,NA
"Hieracium vagense",1,1,1,NA
"Hieracium vagicola",1,1,1,NA
"Hieracium valdepilosum",4,1,0.25,NA
"Hieracium valentius",1,1,1,NA
"Hieracium varianifolium",1,1,1,NA
"Hieracium varianum",1,1,1,NA
"Hieracium venetifolium",1,1,1,NA
"Hieracium verbascifolium",2,1,0.5,NA
"Hieracium verniferum",1,1,1,NA
"Hieracium victoriae",1,1,1,NA
"Hieracium villosum",12,2,0.166666666666667,NA
"Hieracium vinaceiforme",1,1,1,NA
"Hieracium vinaceum",1,1,1,NA
"Hieracium viriatum",1,1,1,NA
"Hieracium viride",2,1,0.5,NA
"Hieracium waldsteinii",1,1,1,NA
"Hieracium wendelianum",1,1,1,NA
"Hieracium xerampelinum",1,1,1,NA
"Hieracium xystophorum",1,1,1,NA
"Hieracium yxnerumense",1,1,1,NA
"Hieracium zonulatiforme",1,1,1,NA
"Hieracium zonulatum",1,1,1,NA
"Hieracium zygophorum",2,1,0.5,NA
"Himantoglossum adriaticum",5,4,0.8,"Least Concern"
"Himantoglossum metlesicsianum",1,1,1,"Endangered"
"Hippocrepis castroviejoi",1,1,1,NA
"Hippocrepis comosa",17,3,0.176470588235294,"Least Concern"
"Hippocrepis eriocarpa",1,1,1,NA
"Hippocrepis grosii",1,1,1,NA
"Hippocrepis nevadensis",1,1,1,NA
"Hippocrepis prostrata",1,1,1,NA
"Hippocrepis tavera-mendozae",1,1,1,NA
"Hippomarathrum vulgare",7,2,0.285714285714286,NA
"Holcus grandiflorus",1,1,1,NA
"Homogyne discolor",4,1,0.25,NA
"Hormathophylla baetica",1,1,1,NA
"Hormathophylla cadevalliana",1,1,1,NA
"Hormathophylla purpurea",1,1,1,NA
"Hormathophylla pyrenaica",1,1,1,NA
"Hormathophylla reverchonii",1,1,1,NA
"Hornungia alpina",12,3,0.25,NA
"Hyacinthella dalmatica",1,1,1,NA
"Hyacinthoides reverchonii",1,1,1,NA
"Hypericum aciferum",1,1,1,NA
"Hypericum barbatum",8,2,0.25,NA
"Hypericum coadunatum",1,1,1,NA
"Hypericum fragile",1,1,1,NA
"Hypericum haplophylloides",1,1,1,NA
"Hypericum rochelii",4,2,0.5,NA
"Hypericum scruglii",1,1,1,NA
"Hypericum setiferum",4,1,0.25,NA
"Hypericum taygeteum",1,1,1,NA
"Hypericum umbellatum",4,1,0.25,NA
"Hypochaeris oligocephala",1,1,1,"Critically Endangered"
"Iberis fontqueri",1,1,1,NA
"Iberis grosii",1,1,1,NA
"Iberis linifolia",5,3,0.6,NA
"Iberis pinnata",12,1,0.0833333333333333,NA
"Iberis saxatilis",9,1,0.111111111111111,NA
"Iberodes brassicifolia",1,1,1,NA
"Iberodes commutata",1,1,1,NA
"Iberodes kuzinskyana",2,1,0.5,NA
"Iris boissieri",2,1,0.5,"Critically Endangered"
"Iris pseudopumila",2,1,0.5,"Least Concern"
"Iris revoluta",1,1,1,"Critically Endangered"
"Isatis littoralis",1,1,1,NA
"Isatis platyloba",2,2,1,"Vulnerable"
"Isoetes boryana",2,2,1,"Endangered"
"Isoetes malinverniana",1,1,1,"Critically Endangered"
"Isoetes sabatina",1,1,1,"Critically Endangered"
"Isoetes todaroana",2,1,0.5,"Critically Endangered"
"Isopyrum thalictroides",14,3,0.214285714285714,NA
"Ixanthus viscosus",1,1,1,NA
"Jacobaea carniolica",9,1,0.111111111111111,NA
"Jacobaea insubrica",2,1,0.5,NA
"Jacobaea persoonii",2,1,0.5,NA
"Jacobaea subalpina",10,3,0.3,NA
